INDEX,rubro,articulo,cantidad,final,costo,neto,margen,IVA,ganancia
83,alfajores (5),alfajor oreo trilogia,101.0,16620,10722.58064516129,13735.537190082645,55,0.21,5897.0
84,alfajores (5),Alfajor Pepitos x 3,66.0,10940,7058.064516129032,9041.322314049587,55,0.21,3882.0
85,alfajores (5),alfajor premio arrabbiato negro,17.0,1870,1206.4516129032259,1545.4545454545455,55,0.21,664.0
86,alfajores (5),Alfajor Santafesino,40.0,200,129.03225806451613,165.28925619834712,55,0.21,71.0
87,alfajores (5),Alfajor santafesino arocense 40g,66.0,6720,4335.4838709677415,5553.719008264463,55,0.21,2385.0
88,alfajores (5),Alfajor santafesino aronse 40g,28.0,2230,1438.7096774193549,1842.9752066115702,55,0.21,791.0
89,alfajores (5),Alfajor Ser Dulce de Leche 47g,33.0,3680,2374.1935483870966,3041.322314049587,55,0.21,1306.0
90,alfajores (5),Alfajor Sin Culpa Blanco,21.0,2160,1393.5483870967741,1785.1239669421489,55,0.21,766.0
91,alfajores (5),ALFAJOR SIN CULPA FRUTILLA,2.0,140,90.32258064516128,115.70247933884298,55,0.21,50.0
92,alfajores (5),Alfajor Sin Culpa Frutilla 35g,15.0,1695,1093.5483870967741,1400.8264462809918,55,0.21,601.0
93,alfajores (5),alfajor sin culpa frutos rojos,19.0,1715,1106.4516129032259,1417.3553719008264,55,0.21,609.0
94,alfajores (5),Alfajor sin culpa limon,28.0,2850,1838.7096774193549,2355.3719008264466,55,0.21,1011.0
95,alfajores (5),alfajor sin culpa maicena 70g,82.0,10625,6854.8387096774195,8780.99173553719,55,0.21,3770.0
96,alfajores (5),Alfajor Sin Culpa Naranja 35g,17.0,1550,1000.0,1280.9917355371902,55,0.21,550.0
97,alfajores (5),Alfajor Sin Culpa Negro,58.0,7250,4677.419354838709,5991.735537190083,55,0.21,2573.0
98,alfajores (5),Alfajor Tatin Triple Blanco,48.0,3720,2400.0,3074.380165289256,55,0.21,1320.0
99,alfajores (5),Alfajor Terrabusi Dulce de Leche x3,157.0,24740,15961.290322580644,20446.280991735537,55,0.21,8779.0
100,alfajores (5),Alfajor Terrabusi Torta x3,72.0,10600,6838.709677419354,8760.330578512398,55,0.21,3761.0
101,alfajores (5),Alfajor Tofi Triple Blanco,42.0,5970,3851.6129032258063,4933.884297520662,55,0.21,2118.0
102,alfajores (5),Alfajor tofi triple negro,55.0,7010,4522.58064516129,5793.388429752066,55,0.21,2487.0
103,alfajores (5),alfajor Trii Shot,74.0,10770,6948.387096774193,8900.826446280991,55,0.21,3822.0
104,alfajores (5),alfajor turimar blanco  60g,5.0,250,161.29032258064515,206.61157024793388,55,0.21,89.0
105,alfajores (5),Alfajor Turimar negro,25.0,1250,806.4516129032257,1033.0578512396694,55,0.21,444.0
106,alfajores (5),Alfajores Agrupados Jorgito Negro,3.0,630,406.4516129032258,520.6611570247934,55,0.21,224.0
107,alfajores (5),Alfajores Jorgito Agrupados Blanco,1.0,210,135.48387096774192,173.55371900826447,55,0.21,75.0
108,alfajores (5),Capricho alfajor Blanco,1.0,100,64.51612903225806,82.64462809917356,55,0.21,35.0
109,alfajores (5),Capricho alfajor mousse,4.0,400,258.06451612903226,330.57851239669424,55,0.21,142.0
110,alfajores (5),Capricho alfajor Negro,3.0,300,193.54838709677418,247.93388429752068,55,0.21,106.0
111,alfajores (5),Chocoarroz Dulce leche,26.0,2185,1409.6774193548388,1805.7851239669421,55,0.21,775.0
112,alfajores (5),chocoarroz frutilla,5.0,475,306.4516129032258,392.56198347107437,55,0.21,169.0
113,alfajores (5),Chocoarroz limon,4.0,380,245.16129032258064,314.04958677685954,55,0.21,135.0
114,alfajores (5),Chocoarroz Marroc,20.0,1860,1200.0,1537.190082644628,55,0.21,660.0
115,alfajores (5),ENSALADA DE FRUTA,59.0,15340,9896.774193548386,12677.685950413224,55,0.21,5443.0
116,alfajores (5),Fantoche blanco x6,43.0,10120,6529.032258064516,8363.636363636364,55,0.21,3591.0
117,alfajores (5),Fantoche Day,25.0,2600,1677.4193548387095,2148.7603305785124,55,0.21,923.0
118,alfajores (5),Fantoche negro por 6,55.0,13460,8683.870967741936,11123.966942148762,55,0.21,4776.0
119,alfajores (5),Guaymallen Blanco,279.0,18840,12154.838709677419,15570.247933884299,55,0.21,6685.0
120,alfajores (5),Guaymallen membrillo triple,101.0,7030,4535.4838709677415,5809.917355371901,55,0.21,2495.0
121,alfajores (5),Guaymallen Negro,355.0,23810,15361.290322580644,19677.685950413223,55,0.21,8449.0
122,alfajores (5),guaymayen simple fruta 38g,11.0,525,338.7096774193548,433.88429752066116,55,0.21,186.0
123,alfajores (5),La bustincera blanco,4.0,880,567.741935483871,727.2727272727273,55,0.21,312.0
124,alfajores (5),La bustincera chocolate,4.0,880,567.741935483871,727.2727272727273,55,0.21,312.0
125,alfajores (5),MILKA MOOSE X3.,115.0,17820,11496.774193548386,14727.272727272728,55,0.21,6323.0
126,alfajores (5),Milka Mousse Blanco x3,65.0,10370,6690.322580645161,8570.247933884299,55,0.21,3680.0
127,alfajores (5),Sin Culpa alfajor blanco,44.0,5910,3812.9032258064517,4884.297520661157,55,0.21,2097.0
128,alfajores (5),sin culpa mousse de chocolate,14.0,1260,812.9032258064516,1041.3223140495868,55,0.21,447.0
129,alfajores (5),Tatin Simple Blanco,48.0,2490,1606.4516129032259,2057.8512396694214,55,0.21,884.0
130,alfajores (5),Tatin Simple Negro,53.0,2830,1825.8064516129032,2338.8429752066118,55,0.21,1004.0
131,alfajores (5),Tatin Triple Negro,118.0,8860,5716.129032258064,7322.314049586777,55,0.21,3144.0
132,alfajores (5),torta toffe,2.0,520,335.48387096774195,429.7520661157025,55,0.21,185.0
133,almacen, el coloso esponja lavar,1.0,80,51.61290322580645,66.11570247933885,55,0.21,28.0
134,almacen,aceite alsamar girasol 900ml,8.0,2960,1909.6774193548385,2446.280991735537,55,0.21,1050.0
135,almacen,Aceite Cocinero 900 ml,1.0,650,419.3548387096774,537.1900826446281,55,0.21,231.0
136,almacen,Aceite cocinero 900ml,35.0,10740,6929.032258064516,8876.03305785124,55,0.21,3811.0
137,almacen,aceite costa del sol 900ml,8.0,4780,3083.8709677419356,3950.413223140496,55,0.21,1696.0
138,almacen,Aceite de Oliva Cocinero 250ml,2.0,610,393.5483870967742,504.1322314049587,55,0.21,216.0
139,almacen,Aceite LIRA  girasol 900ml,9.0,5400,3483.8709677419356,4462.809917355372,55,0.21,1916.0
140,almacen,aceite Marolio 900ml,6.0,1680,1083.8709677419354,1388.4297520661157,55,0.21,596.0
141,almacen,aceite natura  500cc,11.0,2090,1348.3870967741934,1727.2727272727273,55,0.21,742.0
142,almacen,Aceituna Marvavic 200g,13.0,1910,1232.258064516129,1578.5123966942149,55,0.21,678.0
143,almacen,Aceitunas Barbera con caraozos 130 g,5.0,630,406.4516129032258,520.6611570247934,55,0.21,224.0
144,almacen,Aceitunas descarozadas 130 g,3.0,300,193.54838709677418,247.93388429752068,55,0.21,106.0
145,almacen,aceitunas marvavic descarozadas 200g,11.0,2050,1322.5806451612902,1694.2148760330579,55,0.21,727.0
146,almacen,aceitunas marvavic rellenas 200g,3.0,510,329.0322580645161,421.4876033057851,55,0.21,181.0
147,almacen,aceitunas marvavic rodajas,4.0,640,412.9032258064516,528.9256198347108,55,0.21,227.0
148,almacen,Aceto cocinero di modena 500cc,2.0,400,258.06451612903226,330.57851239669424,55,0.21,142.0
149,almacen,aji molido  La canasta 25g,2.0,120,77.41935483870968,99.17355371900827,55,0.21,43.0
150,almacen,Alicante sabor en polvo gallina,16.0,525,338.7096774193548,433.88429752066116,55,0.21,186.0
151,almacen,Anana en rodajas comunes 340g,2.0,800,516.1290322580645,661.1570247933885,55,0.21,284.0
152,almacen,arroz Dos hermanos largo fino 500g,10.0,2100,1354.8387096774193,1735.5371900826447,55,0.21,745.0
153,almacen,Arroz Gallo Oro 500g,22.0,3610,2329.032258064516,2983.471074380165,55,0.21,1281.0
154,almacen,Arroz Lucchetti 500 gr,26.0,2805,1809.6774193548385,2318.1818181818185,55,0.21,995.0
155,almacen,arroz molinos ala no se pasa ni se pega 500g,10.0,700,451.61290322580646,578.5123966942149,55,0.21,248.0
156,almacen,Arroz Trimacer 500 g,17.0,1395,900.0,1152.892561983471,55,0.21,495.0
157,almacen,Arvejas Arcor,12.0,1695,1093.5483870967741,1400.8264462809918,55,0.21,601.0
158,almacen,Atun desmenuzado al natural NOEL,5.0,1000,645.1612903225806,826.4462809917355,55,0.21,355.0
159,almacen,Atún Desmenuzado en aceite y agua 120g,1.0,160,103.2258064516129,132.2314049586777,55,0.21,57.0
160,almacen,Atun desmenuzado en aceite y agua NOEL,5.0,1000,645.1612903225806,826.4462809917355,55,0.21,355.0
161,almacen,Atun Lomitos Al natural 170g,2.0,560,361.2903225806451,462.8099173553719,55,0.21,199.0
162,almacen,Atun Lomitos En Aceite 170g,3.0,840,541.9354838709677,694.2148760330579,55,0.21,298.0
163,almacen,azucar baity comun,34.0,5440,3509.6774193548385,4495.8677685950415,55,0.21,1930.0
164,almacen,Azucar chango sin tacc,9.0,3510,2264.516129032258,2900.8264462809916,55,0.21,1245.0
165,almacen,azucar comun tipo A,1.0,80,51.61290322580645,66.11570247933885,55,0.21,28.0
166,almacen,azucar comun tipo A mat dulc 1kg,11.0,1540,993.5483870967741,1272.7272727272727,55,0.21,546.0
167,almacen,azucar comun tipo A sucre x 1 kgr,16.0,2720,1754.8387096774193,2247.9338842975208,55,0.21,965.0
168,almacen,azucar fronterita,1.0,14,9.032258064516128,11.570247933884298,55,0.21,5.0
169,almacen,Azucar ledesma 1kg,2.0,160,103.2258064516129,132.2314049586777,55,0.21,57.0
170,almacen,azucar Nutri comun tipo A,8.0,2800,1806.4516129032259,2314.0495867768595,55,0.21,994.0
171,almacen,bahia sardinas en aceite y agua,6.0,1720,1109.6774193548388,1421.4876033057851,55,0.21,610.0
172,almacen,BC mermelada durazno,2.0,930,600.0,768.595041322314,55,0.21,330.0
173,almacen,Bimbo Hamburgesas lacteadao,1.0,180,116.12903225806451,148.7603305785124,55,0.21,64.0
174,almacen,bimbo pan  integral,10.0,5720,3690.322580645161,4727.272727272727,55,0.21,2030.0
175,almacen,bimbo pan pancho artesano x6,1.0,390,251.61290322580643,322.3140495867769,55,0.21,138.0
176,almacen,Bimbo Pan tipo artesanal,13.0,5030,3245.1612903225805,4157.02479338843,55,0.21,1785.0
177,almacen,bimbo pan tipo Artesano integral,1.0,700,451.61290322580646,578.5123966942149,55,0.21,248.0
